Il	Iل
Ekonomiċi	عكْنْمِċِ
Monitarji	Mْنِتَرجِ
Baġits	Bَġِتس
Iżvilupp	Iżثِلُةة
Mediterranja	Meدِتeررَنجَ
ACP	اCپ
EU	عU
appuntat	َةةُنتَت
rapporteur	رَةةْرتeُر
tfassil	تفَسسِل
Baġit	Bَġِت
Delegazzjoni	ضeلeغَززجْنِ
Extended	عختeندeد
amp	َمة
Intern	Iنتeرن
Konsumatur	ٍْنسُمَتُر
delegazzjonijiet	دeلeغَززجْنِجِeت
Relazzjonijiet	Reلَززجْنِجِeت
Bosnia	Bْسنَِ
Herzegovina	حeرزeغْثِنَ
Best	Beست
MEP	Mعپ
nomina	نْمِنَ
deputat	دeةُتَت
sorpriża	سْرةرِżَ
Elezzjoni	علeززجْنِ
House	حُْسe
ġestjoni	ġeستجْنِ
twettaq	توeتتَق
talManifest	تَلMَنِفeست
Elettorali	علeتتْرَلِ
talKunsill	تَلٍُنسِلل
involut	ِنثْلُت
baġits	بَġِتس
strateġiji	سترَتeġِجِ
linġustizzji	لِنġُستِززجِ
National	ٌَتِْنَل
Development	ضeثeلْةمeنت
Social	صْcَِل
Fund	ًُند
preparatorju	ةرeةَرَتْرجُ
tisħiħ	تِسħِħ
Awtonomija	اوتْنْمِجَ
Istandards	Iستَندَردس
Pubblika	پُببلِكَ
kkontestax	ككْنتeستَخ
Kumpann	ٍُمةَنن
Mertu	Meرتُ
Francesca	ًرَنceسcَ
Jong	چْنغ
김정일	김정일
Khabarovsk	ٍهَبَرْثسك
Demokratika	ضeمْكرَتِكَ
sung	سُنغ
ggverna	غغثeرنَ
Armata	ارمَتَ
emendata	eمeندَتَ
issejjaħlu	ِسسeججَħلُ
Suprem	صُةرeم
Għażiż	گħَżِż
Battaljun	Bَتتَلجُن
Brigata	Bرِغَتَ
Koreani	ٍْرeَنِ
sul	سُل
Yuri	ىُرِ
Irsenovich	Iرسeنْثِcه
Юрий	Юрий
Ирсенович	Ирсенович
Ким	Ким
sen	سeن
sigriet	سِغرِeت
Muntanja	Mُنتَنجَ
Baekdu	Bَeكدُ
백두산	백두산
bijografiji	بِجْغرَفِجِ
prevista	ةرeثِستَ
ħuttaf	ħُتتَف
mħabbra	مħَببرَ
Pyongyang	پيْنغيَنغ
bastiment	بَستِمeنت
Sovjetiku	صْثجeتِكُ
trakka	ترَككَ
Sonbong	صْنبْنغ
ttrasferixxiet	تترَسفeرِخخِeت
uffiċċjal	ُففِċċجَل
Ġappuniż	Ġَةةُنِż
pixxina	ةِخخِنَ
Shura	صهُرَ
għereq	غħeرeق
Ċerti	Ċeرتِ
infundati	ِنفُندَتِ
kkawża	ككَوżَ
aċċident	َċċِدeنت
twelled	توeللeد
Sekondarja	صeكْندَرجَ
kkuntrastata	ككُنترَستَتَ
bikrija	بِكرِجَ
prekawzjoni	ةرeكَوزجْنِ
assigurata	َسسِغُرَتَ
sigurtà	سِغُرتà
Unjin	Uنجِن
DYL	ضىL
Marksista	Mَركسِستَ
instiga	ِنستِغَ
fazzjożità	فَززجْżِتà
jinkoraġġixi	جِنكْرَġġِخِ
ideoloġika	ِدeْلْġِكَ
Kristofru	ٍرِستْفرُ
Kolombu	ٍْلْمبُ
1451	1451
1506	1506
Oċejan	Oċeجَن
Americas	امeرِcَس
1492	1492
qalbieni	قَلبِeنِ
jbaħħar	جبَħħَر
dwaru	دوَرُ
twettiq	توeتتِق
tbiddel	تبِددeل
Ġenwa	Ġeنوَ
Marku	Mَركُ
Polo	پْلْ
qanqlu	قَنقلُ
Kolumbu	ٍْلُمبُ
laqax	لَقَخ
għorrief	غħْررِeف
jisimgħuh	جِسِمغħُه
widen	وِدeن
ibaħħar	ِبَħħَر
bandiera	بَندِeرَ
Awwisu	اووِسُ
karavelli	كَرَثeللِ
tħejjew	تħeججeو
ekwipaġġ	eكوِةَġġ
qattagħni	قَتتَغħنِ
ħabsin	ħَبسِن
ħsiebhom	ħسِeبهْم
jistagħnew	جِستَغħنeو
żernieq	żeرنِeق
mirkeb	مِركeب
baħħar	بَħħَر
Palos	پَلْس
Niña	ٌِñَ
Pinta	پِنتَ
Telqulha	طeلقُلهَ
Gżejjer	گżeججeر
Kanarji	ٍَنَرجِ
tiżen	تِżeن
ħeġġet	ħeġġeت
frisk	فرِسك
jgħumu	جغħُمُ
passa	ةَسسَ
imstemgħet	ِمستeمغħeت
għajta	غħَجتَ
tħasseb	تħَسسeب
Senġijiet	صeنġِجِeت
mammiferi	مَممِفeرِ
insettivori	ِنسeتتِثْرِ
Afrikani	افرِكَنِ
Macroscelididae	Mَcرْسceلِدِدَe
Macroscelidea	Mَcرْسceلِدeَ
senġi	سeنġِ
gej	غeج
Bantu	Bَنتُ
mifruxin	مِفرُخِن
subsaħarjana	سُبسَħَرجَنَ
imkien	ِمكِeن
issibhom	ِسسِبهْم
Namibja	ٌَمِبجَ
Senġi	صeنġِ
jghid	جغهِد
xott	خْتت
Afrikan	افرِكَن
Deskrizzjoni	ضeسكرِززجْنِ
millimetru	مِللِمeترُ
jiżnu	جِżنُ
ġisimhom	ġِسِمهْم
mnieħirhom	منِeħِرهْم
ivarja	ِثَرجَ
jilwu	جِلوُ
tromba	ترْمبَ
proboxxidi	ةرْبْخخِدِ
Dieta	ضِeتَ
dieta	دِeتَ
insetti	ِنسeتتِ
dud	دُد
brimb	برِمب
Klassifikazzjoni	ٍلَسسِفِكَززجْنِ
senġijiet	سeنġِجِeت
ikklassifikati	ِككلَسسِفِكَتِ
Insectivora	Iنسecتِثْرَ
ġriedem	ġرِeدeم
geddumhom	غeددُمهْم
qniefed	قنِeفeد
ikkunsidrati	ِككُنسِدرَتِ
Ungulati	Uنغُلَتِ
tupaji	تُةَجِ
meqjusin	مeقجُسِن
Lagomorpha	Lَغْمْرةهَ
fniek	فنِeك
liebri	لِeبرِ
piki	ةِكِ
evidenzi	eثِدeنزِ
molekolari	مْلeكْلَرِ
jissapportjaw	جِسسَةةْرتجَو
superordni	سُةeرْردنِ
Afrotheria	افرْتهeرَِ
jaqqagħad	جَققَغħَد
tenreki	تeنرeكِ
talpi	تَلةِ
dehbin	دeهبِن
ungulati	ُنغُلَتِ
iljunfanti	ِلجُنفَنتِ
oritteropi	ْرِتتeرْةِ
Instabu	Iنستَبُ
speċijiet	سةeċِجِeت
fossili	فْسسِلِ
Myohyrax	Mيْهيرَخ
Mylomygale	Mيلْميغَلe
relativament	رeلَتِثَمeنت
gerriema	غeررِeمَ
Plejstoċen	پلeجستْċeن
mqasmin	مقَسمِن
ġeneri	ġeنeرِ
monotipiku	مْنْتِةِكُ
plaċentati	ةلَċeنتَتِ
Mammalia	Mَممَلَِ
sottoklassi	سْتتْكلَسسِ
Theria	طهeرَِ
infraklassi	ِنفرَكلَسسِ
Eutheria	عُتهeرَِ
takson	تَكسْن
Afroinsectiphilia	افرِْنسecتِةهِلَِ
Elephantulus	علeةهَنتُلُس
Macroscelides	Mَcرْسceلِدeس
Petrodromus	پeترْدرْمُس
Rhynchocyon	Rهينcهْcيْن
ordnijiet	ْردنِجِeت
Tubulidentata	طُبُلِدeنتَتَ
Afrosorcida	افرْسْرcِدَ
Paenungulata	پَeنُنغُلَتَ
ijha	ِجهَ
estinta	eستِنتَ
Microhyidae	Mِcرْهيِدَe
ijvarja	ِجثَرجَ
Tupaji	طُةَجِ
omnivori	ْمنِثْرِ
Tupaiidae	طُةَِِدَe
Ptilocercidae	پتِلْceرcِدَe
Scandentia	صcَندeنتَِ
ċelebrali	ċeلeبرَلِ
ġrieden	ġرِeدeن
jqattgħu	جقَتتغħُ
Rafflesia	Rَففلeسَِ
Klassifikazjoni	ٍلَسسِفِكَزجْنِ
similaritajiet	سِمِلَرِتَجِeت
Primates	پرِمَتeس
proxximji	ةرْخخِمجِ
primittivi	ةرِمِتتِثِ
filoġenija	فِلْġeنِجَ
molekulari	مْلeكُلَرِ
tupaja	تُةَجَ
Dermoptera	ضeرمْةتeرَ
klad	كلَد
Euarchonta	عَُرcهْنتَ
oħt	ْħت
Glires	گلِرeس
Rodentia	Rْدeنتَِ
Euarchontoglires	عَُرcهْنتْغلِرeس
placentati	ةلَceنتَتِ
Anathana	انَتهَنَ
Dendrogale	ضeندرْغَلe
Tupaia	طُةََِ
Urogale	Uرْغَلe
Ptilocercus	پتِلْceرcُس
kolugi	كْلُغِ
kobegi	كْبeغِ
lemuri	لeمُرِ
jtiru	جتِرُ
itiru	ِتِرُ
erbivori	eربِثْرِ
notturni	نْتتُرنِ
Jeżistu	چeżِستُ
Cynocephalidae	Cينْceةهَلِدَe
jipplanaw	جِةةلَنَو
ċentimetru	ċeنتِمeترُ
kilogrammi	كِلْغرَممِ
irqaq	ِرقَق
moderat	مْدeرَت
korporatura	كْرةْرَتُرَ
par	ةَر
binokulari	بِنْكُلَرِ
tondi	تْندِ
membrana	مeمبرَنَ
vojt	ثْجت
appendiċi	َةةeندِċِ
mammiferu	مَممِفeرُ
pataġjum	ةَتَġجُم
mifruxha	مِفرُخهَ
swaba	سوَبَ
għonq	غħْنق
Ġeometrikament	Ġeْمeترِكَمeنت
Mixodectidae	Mِخْدecتِدَe
fossilu	فْسسِلُ
Paleogene	پَلeْغeنe
interpretati	ِنتeرةرeتَتِ
dermopteri	دeرمْةتeرِ
inċertezzi	ِنċeرتeززِ
planarji	ةلَنَرجِ
kladi	كلَدِ
Paramomyidae	پَرَمْميِدَe
Plesiadapiformes	پلeسَِدَةِفْرمeس
Plagiomenidae	پلَغِْمeنِدَe
Thylacaeluridae	طهيلَcَeلُرِدَe
Dermotherium	ضeرمْتهeرُِم
estint	eستِنت
Cynocephalus	Cينْceةهَلُس
Galeopterus	گَلeْةتeرُس
estanti	eستَنتِ
talaħħar	تَلَħħَر
Pangolin	پَنغْلِن
insettivoru	ِنسeتتِثْرُ
pangolini	ةَنغْلِنِ
imsejjħin	ِمسeججħِن
bunemmiela	بُنeممِeلَ
qxur	قخُر
wikkilin	وِككِلِن
nemel	نeمeل
Manis	Mَنِس
sottofamilja	سْتتْفَمِلجَ
Maninae	Mَنِنَe
Manidae	Mَنِدَe
Pholidota	پهْلِدْتَ
pangolin	ةَنغْلِن
Malajana	Mَلَجَنَ
pengguling	ةeنغغُلِنغ
imkebbeb	ِمكeببeب
miksi	مِكسِ
iebsin	ِeبسِن
strati	سترَتِ
jibbiesu	جِببِeسُ
kurazza	كُرَززَ
xifer	خِفeر
xafra	خَفرَ
iservu	ِسeرثُ
jħossuhom	جħْسسُهْم
jitkebbu	جِتكeببُ
ballun	بَللُن
glandola	غلَندْلَ
bżieq	بżِeق
kolla	كْللَ
jaqbdu	جَقبدُ
kwantita	كوَنتِتَ
termiti	تeرمِتِ
Edentata	عدeنتَتَ
xebh	خeبه
konverġenti	كْنثeرġeنتِ
Carnivora	Cَرنِثْرَ
ġenetikament	ġeنeتِكَمeنت
paleontoloġisti	ةَلeْنتْلْġِستِ
jikklassifikaw	جِككلَسسِفِكَو
Cimolesta	Cِمْلeستَ
sottordni	سْتتْردنِ
sottordnijiet	سْتتْردنِجِeت
tà	تà
sottoġeneru	سْتتْġeنeرُ
rwieħhom	روِeħهْم
Scandetia	صcَندeتَِ
Tupaja	طُةَجَ
Xbiex	Xبِeخ
Imsida	Iمسِدَ
xbiek	خبِeك
sajjieda	سَججِeدَ
għadek	غħَدeك
tarahom	تَرَهْم
naqsu	نَقسُ
jissaħħaħ	جِسسَħħَħ
għidud	غħِدُد
tmun	تمُن
vapur	ثَةُر
Unitatae	Uنِتَتَe
Fortior	ًْرتِْر
Saħħa	صَħħَ
aġenziji	َġeنزِجِ
ambaxxati	َمبَخخَتِ
Britannika	Bرِتَننِكَ
Yacht	ىَcهت
għadux	غħَدُخ
Tereżjani	طeرeżجَنِ
Skalzi	صكَلزِ
jsirux	جسِرُخ
Festi	ًeستِ
Abbatini	اببَتِنِ
Laudamus	Lَُدَمُس
Unum	Uنُم
Deum	ضeُم
Infaħħru	Iنفَħħرُ
Leġjonarju	Leġجْنَرجُ
Appostolat	اةةْستْلَت
Ħniena	Ħنِeنَ
Ċenaklu	Ċeنَكلُ
Marjan	Mَرجَن
Lectio	Lecتِْ
Teens	طeeنس
Christ	Cهرِست
T4C	ط4C
Kolugo	ٍْلُغْ
volans	ثْلَنس
Distribuzzjoni	ضِسترِبُززجْنِ
Mindanao	Mِندَنَْ
Basilan	Bَسِلَن
Samar	صَمَر
Leyte	Leيتe
Bohol	Bْهْل
kolugo	كْلُغْ
pil	ةِل
ħamrani	ħَمرَنِ
imtebba	ِمتeببَ
Sunda	صُندَ
variegatus	ثَرِeغَتُس
Malajan	Mَلَجَن
jipplana	جِةةلَنَ
Riproduzzjoni	Rِةرْدُززجْنِ
tqala	تقَلَ
rarament	رَرَمeنت
ċċelebrati	ċċeلeبرَتِ
titfakkar	تِتفَككَر
irvellijiet	ِرثeللِجِeت
Sette	صeتتe
Giugno	گُِغنْ
ngħaqdu	نغħَقدُ
nħassu	نħَسسُ
Bażi	Bَżِ
Navali	ٌَثَلِ
Nurse	ٌُرسe
jilqgħu	جِلقغħُ
feruti	فeرُتِ
isptarijiet	ِسةتَرِجِeت
Sacra	صَcرَ
Inferemeria	Iنفeرeمeرَِ
Bighi	Bِغهِ
Andrews	اندرeوس
skarsezzi	سكَرسeززِ
għaks	غħَكس
dazju	دَزجُ
suċċessjoni	سُċċeسسجْنِ
waqfet	وَقفeت
Government	گْثeرنمeنت
Workers	Wْركeرس
ifasslu	ِفَسسلُ
jgħadduha	جغħَددُهَ
japprovaha	جَةةرْثَهَ
nġabret	نġَبرeت
tittajjar	تِتتَججَر
bjut	بجُت
waddbu	وَددبُ
imħażen	ِمħَżeن
Daily	ضَِلي
Chronicle	Cهرْنِcلe
Club	Cلُب
ipprovokaw	ِةةرْثْكَو
soldi	سْلدِ
setgħetx	سeتغħeتخ
tikkontrolla	تِككْنترْللَ
ssejħu	سسeجħُ
Wenzu	Weنزُ
Dyer	ضيeر
Bajada	Bَجَدَ
telgħet	تeلغħeت
tpoġġi	تةْġġِ
kuruni	كُرُنِ
pprovokaw	ةةرْثْكَو
saħnet	سَħنeت
marines	مَرِنeس
Abela	ابeلَ
Vittmi	ڤِتتمِ
parrukkier	ةَررُككِeر
balla	بَللَ
azzarin	َززَرِن
ġbinu	ġبِنُ
Forni	ًْرنِ
imgeżwer	ِمغeżوeر
laqtitu	لَقتِتُ
ġenbu	ġeنبُ
sparatura	سةَرَتُرَ
kukkarda	كُككَردَ
ħamra	ħَمرَ
berritta	بeررِتتَ
sparawlu	سةَرَولُ
iserrep	ِسeررeة
Main	Mَِن
Guard	گَُرد
bajjunetta	بَججُنeتتَ
żaqqu	żَققُ
jsejjaħ	جسeججَħ
rassa	رَسسَ
Francia	ًرَنcَِ
Mietu	Mِeتُ
Ċikku	Ċِككُ
Darmanin	ضَرمَنِن
mejtin	مeجتِن
Giovine	گِْثِنe
Effetti	عففeتتِ
192	192
jikkalma	جِككَلمَ
Lord	Lْرد
ngħatat	نغħَتَت
Responsabbli	Reسةْنسَببلِ
responsible	رeسةْنسِبلe
self	سeلف
government	غْثeرنمeنت
jirtiraha	جِرتِرَهَ
jħoss	جħْسس
propoganda	ةرْةْغَندَ
riesqa	رِeسقَ
plaċentat	ةلَċeنتَت
Tajlandja	طَجلَندجَ
Malażja	Mَلَżجَ
sottospeċi	سْتتْسةeċِ
v	ث
borneanus	بْرنeَنُس
Borneo	Bْرنeْ
Ġava	Ġَثَ
temminckii	تeممِنcكِِ
Sumatra	صُمَترَ
peninsulae	ةeنِنسُلَe
peninżula	ةeنِنżُلَ
Malażjana	Mَلَżجَنَ
griż	غرِż
sottofamilji	سْتتْفَمِلجِ
Eurotamandua	عُرْتَمَندَُ
Eomanis	عْمَنِس
Necromanis	ٌecرْمَنِس
Patriomanis	پَترِْمَنِس
Epoicotheriidae	عةِْcْتهeرِِدَe
Escavadodontidae	عسcَثَدْدْنتِدَe
Metacheiromyidae	Meتَcهeِرْميِدَe
binari	بِنَرِ
10010111	10010111
bits	بِتس
Numri	ٌُمرِ
ħżin	ħżِن
kompjuter	كْمةجُتeر
Binarju	Bِنَرجُ
Shannon	صهَننْن
atribwixxa	َترِبوِخخَ
W	W
Tukey	طُكeي
Laboratorji	Lَبْرَتْرجِ
Bell	Beلل
qassar	قَسسَر
binaru	بِنَرُ
Interessanti	Iنتeرeسسَنتِ
Vannevar	ڤَننeثَر
Bush	Bُسه
maħżuna	مَħżُنَ
punch	ةُنcه
cards	cَردس
mekkaniċi	مeككَنِċِ
swiċċ	سوِċċ
mixgħul	مِخغħُل
mitfi	مِتفِ
falz	فَلز
indikatur	ِندِكَتُر
tqabbel	تقَببeل
Gregory	گرeغْري
Bateson	Bَتeسْن
ddefinixxa	ددeفِنِخخَ
Abbrevjazjoni	اببرeثجَزجْنِ
jirrapreżentaw	جِررَةرeżeنتَو
byte	بيتe
istandards	ِستَندَردس
IEC	IعC
60027	60027
Kumissjoni	ٍُمِسسجْنِ
Elettroteknika	علeتترْتeكنِكَ
tispeċifika	تِسةeċِفِكَ
għaldaqshekk	غħَلدَقسهeكك
kbit	كبِت
kilobit	كِلْبِت
jispeċifikax	جِسةeċِفِكَخ
Standard	صتَندَرد
IEEE	Iععع
jispeċifika	جِسةeċِفِكَ
konvenzjoni	كْنثeنزجْنِ
internazjonalment	ِنتeرنَزجْنَلمeنت
Byte	Bيتe
innifisha	ِننِفِسهَ
nibble	نِببلe
Word	Wْرد
wżata	وżَتَ
mħux	مħُخ
standard	ستَندَرد
definit	دeفِنِت
reġistru	رeġِسترُ
CPU	CپU
arkittetura	َركِتتeتُرَ
IA	Iا
dword	دوْرد
arkitetturi	َركِتeتتُرِ
daqsijiet	دَقسِجِeت
Terminoloġiji	طeرمِنْلْġِجِ
kwantitajiet	كوَنتِتَجِeت
ffurmati	ففُرمَتِ
napplikaw	نَةةلِكَو
prefissi	ةرeفِسسِ
megabit	مeغَبِت
Mbit	Mبِت
gigabit	غِغَبِت
Gbit	گبِت
konfużjoni	كْنفُżجْنِ
abbrevjazjonijiet	َببرeثجَزجْنِجِeت
Rati	Rَتِ
telekomunikazjoni	تeلeكْمُنِكَزجْنِ
network	نeتوْرك
bps	بةس
baud	بَُد
Caenolestes	Cَeنْلeستeس
opossumi	ْةْسسُمِ
bugdiedem	بُغدِeدeم
Metatheria	Meتَتهeرَِ
Ameridelphia	امeرِدeلةهَِ
Paucituberculata	پَُcِتُبeرcُلَتَ
Caenolestidae	Cَeنْلeستِدَe
Lestoros	Leستْرْس
Rhyncholestes	Rهينcهْلeستeس
marsupjali	مَرسُةجَلِ
karnivori	كَرنِثْرِ
abbitudni	َببِتُدنِ
notturna	نْتتُرنَ
firien	فِرِeن
fiħ	فِħ
mammoloġisti	مَممْلْġِستِ
toqob	تْقْب
bugeddum	بُغeددُم
far	فَر
ikkaratterizzati	ِككَرَتتeرِززَتِ
irqiq	ِرقِق
marsupju	مَرسُةجُ
adulti	َدُلتِ
bagħtuta	بَغħتُتَ
kaċċaturi	كَċċَتُرِ
jikkaċċaw	جِككَċċَو
ħniex	ħنِeخ
smiegħ	سمِeغħ
wiċċhom	وِċċهْم
Andi	اندِ
kontinaent	كْنتِنَeنت
Venezwela	ڤeنeزوeلَ
Kolombja	ٍْلْمبجَ
Ekwador	عكوَدْر
Caenolestoidea	Cَeنْلeستِْدeَ
Pichipilinae	پِcهِةِلِنَe
Caenolestinae	Cَeنْلeستِنَe
tlitt	تلِتت
Lista	Lِستَ
ispeċijiet	ِسةeċِجِeت
†	†
estinzjon	eستِنزجْن
ikklassifikat	ِككلَسسِفِكَت
Didelphimorphia	ضِدeلةهِمْرةهَِ
Australidelphia	اُسترَلِدeلةهَِ
marsupjal	مَرسُةجَل
kolokolo	كْلْكْلْ
monito	مْنِتْ
monte	مْنتe
Dromiciops	ضرْمِcِْةس
gliroides	غلِرِْدeس
Kompjuter	ٍْمةجُتeر
operazzjoni	ْةeرَززجْنِ
Turing	طُرِنغ
struzzjonijiet	سترُززجْنِجِeت
jipproċessa	جِةةرْċeسسَ
komputers	كْمةُتeرس
speċifiċi	سةeċِفِċِ
operazzjonijiet	ْةeرَززجْنِجِeت
integrat	ِنتeغرَت
millimetri	مِللِمeترِ
arloġġ	َرلْġġ
ġugarell	ġُغَرeلل
proċessur	ةرْċeسسُر
jobdi	جْبدِ
inutili	ِنُتِلِ
skop	سكْة
bżonjuż	بżْنجُż
operattiva	ْةeرَتتِثَ
joperaw	جْةeرَو
jinteragixxi	جِنتeرَغِخخِ
softwer	سْفتوeر
hardwer	هَردوeر
Oriġinalment	Oرِġِنَلمeنت
kalkulazzjonijiet	كَلكُلَززجْنِجِeت
matematiċi	مَتeمَتِċِ
mekkaniku	مeككَنِكُ
abacus	َبَcُس
Antikythera	انتِكيتهeرَ
grieg	غرِeغ
kalkulat	كَلكُلَت
inġinira	ِنġِنِرَ
1623	1623
Wilhelm	Wِلهeلم
Schickard	صcهِcكَرد
kalkulatur	كَلكُلَتُر
Jacquard	چَcقَُرد
innovazjoni	ِننْثَزجْنِ
ħjata	ħجَتَ
tħejt	تħeجت
disinju	دِسِنجُ
komplessi	كْمةلeسسِ
msemmijha	مسeممِجهَ
mhiex	مهِeخ
kunsidrata	كُنسِدرَتَ
Babbage	Bَببَغe
ddisinja	ددِسِنجَ
programmabli	ةرْغرَممَبلِ
krejati	كرeجَتِ
mportanti	مةْرتَنتِ
1843	1843
Ada	ادَ
Lovelace	Lْثeلَce
Byron	Bيرْن
kient	كِeنت
jikkalkula	جِككَلكُلَ
Bernoulli	Beرنُْللِ
solvuti	سْلثُتِ
analogi	َنَلْغِ
isolvu	ِسْلثُ
speċifika	سةeċِفِكَ
programmabbli	ةرْغرَممَببلِ
bsaħħithom	بسَħħِتهْم
introduċew	ِنترْدُċeو
nsibuhom	نسِبُهْم
eletronika	eلeترْنِكَ
ivvintata	ِثثِنتَتَ
1937	1937
programmabilita	ةرْغرَممَبِلِتَ
Zuse	ظُسe
eletromekkaniku	eلeترْمeككَنِكُ
Z3	ظ3
aritmetika	َرِتمeتِكَ
binarja	بِنَرجَ
Atanasoff	اتَنَسْفف
Berry	Beرري
Harvard	حَرثَرد
ENIAC	عٌIاC
deċimali	دeċِمَلِ
eletroniku	eلeترْنِكُ
difetti	دِفeتتِ
Neumann	ٌeُمَنن
Żviluppi	Żثِلُةةِ
EDSAC	عضصاC
valvoli	ثَلثْلِ
wżati	وżَتِ
imbiddla	ِمبِددلَ
transistors	ترَنسِستْرس
irħas	ِرħَس
qisa	قِسَ
tekonloġija	تeكْنلْġِجَ
nużaw	نُżَو
tiżviluppa	تِżثِلُةةَ
iżviluppaturi	ِżثِلُةةَتُرِ
Moore	Mْْرe
Gordon	گْردْن
Intel	Iنتeل
jirdipjaw	جِردِةجَو
prezz	ةرeزز
jorħos	جْرħْس
proporjonalment	ةرْةْرجْنَلمeنت
industija	ِندُستِجَ
jiswa	جِسوَ
$	ش
siegħat	سِeغħَت
01	01
Ġenerazzjonijiet	Ġeنeرَززجْنِجِeت
Tubi	طُبِ
ċirkwijt	ċِركوِجت
bombli	بْمبلِ
magnetiċi	مَغنeتِċِ
magnetic	مَغنeتِc
drums	درُمس
għaljin	غħَلجِن
elettrika	eلeتترِكَ
jiġġeneraw	جِġġeنeرَو
malfunzjonament	مَلفُنزجْنَمeنت
makkinarji	مَككِنَرجِ
jipproċessaw	جِةةرْċeسسَو
istruzzjonijiet	ِسترُززجْنِجِeت
jsolvu	جسْلثُ
tejp	تeجة
taraha	تَرَهَ
UNIVAC	UٌIڤاC
klijent	كلِجeنت
Uffiċju	Uففِċجُ
Ċensiment	Ċeنسِمeنت
Transistors	طرَنسِستْرس
transistor	ترَنسِستْر
vvintati	ثثِنتَتِ
tubu	تُبُ
jiċkienu	جِċكِeنُ
proċessar	ةرْċeسسَر
jorħsu	جْرħسُ
jaħlu	جَħلُ
affidabli	َففِدَبلِ
jiġġenera	جِġġeنeرَ
żvilup	żثِلُة
card	cَرد
stampar	ستَمةَر
assembly	َسسeمبلي
programmatur	ةرْغرَممَتُر
jipprogrammhom	جِةةرْغرَممهْم
COBOL	COBOL
FORTRAN	ًORطRاٌ
jaħżnu	جَħżنُ
kalamiti	كَلَمِتِ
taħżen	تَħżeن
Ċirkwiti	Ċِركوِتِ
Integrati	Iنتeغرَتِ
mċekkna	مċeككنَ
mpoġġija	مةْġġِجَ
ċipep	ċِةeة
silicon	سِلِcْن
semikondutturi	سeمِكْندُتتُرِ
biddlu	بِددلُ
drastikalment	درَستِكَلمeنت
effiċjenza	eففِċجeنزَ
jinteraġixxi	جِنتeرَġِخخِ
kijbord	كِجبْرد
moniter	مْنِتeر
iħaddem	ِħَددeم
applikazjonijiet	َةةلِكَزجْنِجِeت
jsieb	جسِeب
jużawh	جُżَوه
orħos	ْرħْس
qabilhom	قَبِلهْم
Mikroproċessur	Mِكرْةرْċeسسُر
mikroproċessur	مِكرْةرْċeسسُر
ċippa	ċِةةَ
silikon	سِلِكْن
jimla	جِملَ
4004	4004
proċcessur	ةرْċceسسُر
IBM	IBM
introduċiet	ِنترْدُċِeت
Apple	اةةلe
Macintosh	Mَcِنتْسه
mikroproċessuri	مِكرْةرْċeسسُرِ
saħħithom	سَħħِتهْم
maqgħuda	مَقغħُدَ
networks	نeتوْركس
Internet	Iنتeرنeت
interfaċċi	ِنتeرفَċċِ
grafiċi	غرَفِċِ
GIU	گIU
maws	مَوس
Intelliġenza	Iنتeللِġeنزَ
Artifiċjali	ارتِفِċجَلِ
jiffokaw	جِففْكَو
proċessuri	ةرْċeسسُرِ
kella	كeللَ
bżonnijiet	بżْننِجِeت
rikonoxximent	رِكْنْخخِمeنت
smigħ	سمِغħ
stadju	ستَدجُ
jiddaħlu	جِددَħلُ
ixjenzati	ِخجeنزَتِ
ifitxu	ِفِتخُ
bioloġiku	بِْلْġِكُ
molekula	مْلeكُلَ
Metodi	Meتْدِ
kwantistiċi	كوَنتِستِċِ
Almaden	المَدeن
nukleju	نُكلeجُ
atomi	َتْمِ
fluworin	فلُوْرِن
aħħari	َħħَرِ
jiddikjarawh	جِددِكجَرَوه
Komponenti	ٍْمةْنeنتِ
Memorja	Meمْرجَ
nirreferu	نِررeفeرُ
tinqasam	تِنقَسَم
ROM	ROM
firmwer	فِرموeر
relatata	رeلَتَتَ
RAM	RاM
jaċċessa	جَċċeسسَ
sekwenzjali	سeكوeنزجَلِ
Periferali	پeرِفeرَلِ
jiżdied	جِżدِeد
jiżdiedulu	جِżدِeدُلُ
periferali	ةeرِفeرَلِ
apparati	َةةَرَتِ
opzjonali	ْةزجْنَلِ
bżonjużi	بżْنجُżِ
konnesjonijiet	كْننeسجْنِجِeت
USB	UصB
COM	COM
joystiks	جْيستِكس
printers	ةرِنتeرس
skeners	سكeنeرس
drajvs	درَجثس
konsiderati	كْنسِدeرَتِ
Kards	ٍَردس
vijdjo	ثِجدجْ
kards	كَردس
Softwer	صْفتوeر
Processor	پرْceسسْر
jużahom	جُżَهْم
Operattivi	Oةeرَتتِثِ
riżorisi	رِżْرِسِ
inġinerija	ِنġِنeرِجَ
jinqraw	جِنقرَو
essej	eسسeج
1935	1935
Computable	Cْمةُتَبلe
numbers	نُمبeرس
with	وِته
application	َةةلِcَتِْن
Entscheidungsproblem	عنتسcهeِدُنغسةرْبلeم
Operattiva	Oةeرَتتِثَ
Operating	Oةeرَتِنغ
System	صيستeم
bażiċi	بَżِċِ
talloka	تَللْكَ
prijorità	ةرِجْرِتà
input	ِنةُت
output	ُْتةُت
tiffaċilita	تِففَċِلِتَ
immaniġjar	ِممَنِġجَر
Tipi	طِةِ
Superkompjuter	صُةeركْمةجُتeر
sahhtu	سَههتُ
generalment	غeنeرَلمeنت
